NAME	SIZE	ES	NES	NOM_p-val	FDR_q-val	FWER_p-val	RANK_AT_MAX	LEADING_EDGE			
GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	15	0.60860157	1.5328299	0.1010101	0.6456397	0.997	1425	"tags=13%,"	"list=13%,"	signal=15%	
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_BY_RNA_POLYMERASE_II	34	0.44845048	1.53376	0.030364372	0.653998	0.997	1252	"tags=15%,"	"list=12%,"	signal=17%	
GOBP_APICAL_JUNCTION_ASSEMBLY	44	0.55387443	1.506108	0.007968128	0.6550194	0.999	1153	"tags=32%,"	"list=11%,"	signal=36%	
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	15	0.6678251	1.5353124	0.042801555	0.6591036	0.997	1911	"tags=33%,"	"list=18%,"	signal=41%	
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	23	0.4840997	1.5364325	0.013861386	0.6669908	0.997	1104	"tags=17%,"	"list=10%,"	signal=19%	
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS	130	0.4075739	1.5020727	0.010183299	0.66743076	0.999	2068	"tags=23%,"	"list=20%,"	signal=28%	
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	21	0.6090044	1.4593805	0.06706114	0.6705431	1	713	"tags=19%,"	"list=7%,"	signal=20%	
GOBP_CARDIAC_ATRIUM_DEVELOPMENT	22	0.48896518	1.4600981	0.036	0.6742831	1	113	"tags=9%,"	"list=1%,"	signal=9%	
GOBP_MIDBRAIN_DEVELOPMENT	56	0.46353197	1.4543726	0.04518664	0.6743043	1	2364	"tags=32%,"	"list=22%,"	signal=41%	
GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	176	0.41813138	1.4510783	0.015209125	0.67697805	1	2204	"tags=28%,"	"list=21%,"	signal=35%	
GOBP_NOREPINEPHRINE_TRANSPORT	21	0.6412591	1.4524727	0.038961038	0.67698115	1	1658	"tags=38%,"	"list=16%,"	signal=45%	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	36	0.51519	1.5373101	0.029473685	0.67727196	0.997	232	"tags=11%,"	"list=2%,"	signal=11%	
GOBP_MATURATION_OF_SSU_RRNA	42	0.50498533	1.460586	0.07115385	0.6796909	1	1550	"tags=21%,"	"list=15%,"	signal=25%	
GOBP_HEART_FORMATION	18	0.5704239	1.4546571	0.057471264	0.68018484	1	1152	"tags=22%,"	"list=11%,"	signal=25%	
GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION	23	0.6302827	1.4386989	0.04696673	0.680362	1	1925	"tags=39%,"	"list=18%,"	signal=48%	
GOBP_HEART_TRABECULA_MORPHOGENESIS	22	0.5611161	1.4393569	0.06187625	0.6837152	1	2295	"tags=36%,"	"list=22%,"	signal=46%	
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	41	0.41310588	1.4554161	0.04296875	0.6837358	1	1622	"tags=15%,"	"list=15%,"	signal=17%	
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	28	0.4811474	1.4610437	0.037190083	0.68535876	1	1977	"tags=25%,"	"list=19%,"	signal=31%	
GOBP_CELL_CELL_JUNCTION_ASSEMBLY	89	0.4763993	1.4636718	0.0078125	0.68686754	1	1597	"tags=27%,"	"list=15%,"	signal=31%	
GOBP_PLACENTA_BLOOD_VESSEL_DEVELOPMENT	23	0.5300348	1.4970082	0.025641026	0.6877715	0.999	2377	"tags=30%,"	"list=22%,"	signal=39%	
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	52	0.55790055	1.4398762	0.045725647	0.6879785	1	2091	"tags=44%,"	"list=20%,"	signal=55%	
GOBP_REGULATION_OF_CHROMOSOME_SEPARATION	60	0.53001225	1.5379426	0.022222223	0.6890728	0.997	1444	"tags=25%,"	"list=14%,"	signal=29%	
GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	23	0.57103556	1.4618553	0.031558186	0.68921524	1	1951	"tags=39%,"	"list=18%,"	signal=48%	
GOBP_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	33	0.5127262	1.4408052	0.057539683	0.68981236	1	891	"tags=18%,"	"list=8%,"	signal=20%	
GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	58	0.4644506	1.4910811	0.017509727	0.69041044	1	1096	"tags=21%,"	"list=10%,"	signal=23%	
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	16	0.5628044	1.4891782	0.042510122	0.69063425	1	2500	"tags=44%,"	"list=24%,"	signal=57%	
GOBP_RESPONSE_TO_DIETARY_EXCESS	19	0.6388041	1.4924475	0.02964427	0.6931168	1	373	"tags=21%,"	"list=4%,"	signal=22%	
GOBP_MITOCHONDRIAL_FUSION	17	0.6308859	1.4637064	0.052208837	0.6951858	1	2047	"tags=35%,"	"list=19%,"	signal=44%	
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION	227	0.37996033	1.4345468	0.001984127	0.695771	1	2145	"tags=29%,"	"list=20%,"	signal=36%	
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	23	0.5719918	1.440861	0.040733196	0.6967086	1	873	"tags=22%,"	"list=8%,"	signal=24%	
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS	50	0.4873964	1.4695686	0.017274473	0.69706756	1	1512	"tags=32%,"	"list=14%,"	signal=37%	
GOBP_HYPEROSMOTIC_RESPONSE	20	0.6519201	1.4661374	0.0390625	0.6989409	1	1586	"tags=35%,"	"list=15%,"	signal=41%	
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	70	0.4693518	1.4414684	0.038	0.70067096	1	1238	"tags=20%,"	"list=12%,"	signal=22%	
GOBP_TRANSITION_METAL_ION_HOMEOSTASIS	82	0.43720347	1.4642318	0.028455285	0.7009702	1	2578	"tags=41%,"	"list=24%,"	signal=54%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MATURATION	18	0.64582455	1.5386288	0.007692308	0.70119536	0.997	2274	"tags=56%,"	"list=21%,"	signal=71%	
GOBP_TRANSMISSION_OF_NERVE_IMPULSE	57	0.5567632	1.5712746	0	0.70125043	0.994	1045	"tags=21%,"	"list=10%,"	signal=23%	
GOBP_REGULATION_OF_GLUTAMATE_SECRETION	18	0.61816394	1.4703764	0.07459678	0.7014015	1	485	"tags=17%,"	"list=5%,"	signal=17%	
GOBP_PURINE_NUCLEOTIDE_TRANSPORT	15	0.55461955	1.4672368	0.075	0.70159346	1	497	"tags=13%,"	"list=5%,"	signal=14%	
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY	80	0.45392716	1.4929163	0.01509434	0.7016677	1	1671	"tags=26%,"	"list=16%,"	signal=31%	
GOBP_CELL_VOLUME_HOMEOSTASIS	17	0.7616113	1.7051065	0.001996008	0.7029356	0.826	1507	"tags=47%,"	"list=14%,"	signal=55%	
GOBP_ORGANELLE_FUSION	99	0.37788686	1.4849494	0.026748972	0.70344853	1	1660	"tags=18%,"	"list=16%,"	signal=21%	
GOBP_DOPAMINERGIC_NEURON_DIFFERENTIATION	21	0.5829513	1.4417652	0.027833002	0.7061402	1	2073	"tags=52%,"	"list=20%,"	signal=65%	
GOBP_KINETOCHORE_ORGANIZATION	19	0.67017454	1.4710809	0.044921875	0.7067058	1	1644	"tags=42%,"	"list=16%,"	signal=50%	
GOBP_REGULATION_OF_SPROUTING_ANGIOGENESIS	24	0.5965894	1.4311635	0.057142857	0.70767725	1	2584	"tags=58%,"	"list=24%,"	signal=77%	
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_EXONUCLEOLYTIC	26	0.5036846	1.4724791	0.08086785	0.7081687	1	2253	"tags=35%,"	"list=21%,"	signal=44%	
GOBP_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS	18	0.6096819	1.5400996	0.02244898	0.70921665	0.997	1789	"tags=39%,"	"list=17%,"	signal=47%	
GOBP_RETINA_HOMEOSTASIS	38	0.5046045	1.4419835	0.034615386	0.7125374	1	1336	"tags=26%,"	"list=13%,"	signal=30%	
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	55	0.45682305	1.4431723	0.029880479	0.713693	1	2285	"tags=29%,"	"list=22%,"	signal=37%	
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	60	0.40558103	1.4732147	0.036885247	0.71399546	1	1124	"tags=13%,"	"list=11%,"	signal=15%	
GOBP_PURINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT	15	0.6021848	1.4741114	0.04863813	0.71836656	1	1286	"tags=20%,"	"list=12%,"	signal=23%	
GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	33	0.5501789	1.5413631	0.026748972	0.71969557	0.997	1264	"tags=33%,"	"list=12%,"	signal=38%	
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	25	0.5825297	1.5716869	0.009689922	0.7232565	0.994	1597	"tags=24%,"	"list=15%,"	signal=28%	
GOBP_REGULATION_OF_CLATHRIN_DEPENDENT_ENDOCYTOSIS	15	0.52206576	1.422859	0.08982036	0.72649926	1	3042	"tags=47%,"	"list=29%,"	signal=65%	
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	45	0.42644963	1.4263371	0.01984127	0.72750455	1	2085	"tags=27%,"	"list=20%,"	signal=33%	
GOBP_MITOCHONDRIAL_TRANSLATION	90	0.41043565	1.4742508	0.047058824	0.7275606	1	2766	"tags=38%,"	"list=26%,"	signal=51%	
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION	52	0.40164682	1.4236467	0.051587302	0.728631	1	1135	"tags=17%,"	"list=11%,"	signal=19%	
GOBP_NUCLEOBASE_METABOLIC_PROCESS	25	0.49568018	1.4240458	0.04715128	0.73332626	1	1682	"tags=24%,"	"list=16%,"	signal=28%	
GOBP_POSITIVE_REGULATION_OF_COAGULATION	22	0.6459911	1.5419394	0.02443609	0.73527825	0.996	1621	"tags=32%,"	"list=15%,"	signal=37%	
GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS	15	0.59887856	1.4743676	0.06538462	0.7374422	1	1682	"tags=27%,"	"list=16%,"	signal=32%	
GOBP_CORTICOSTEROID_HORMONE_SECRETION	17	0.639184	1.4194291	0.06831119	0.73863256	1	1843	"tags=59%,"	"list=17%,"	signal=71%	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	71	0.52205867	1.5442586	0.01764706	0.7395218	0.996	1537	"tags=30%,"	"list=15%,"	signal=34%	
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	40	0.5440752	1.4751561	0.015936255	0.7429848	1	1138	"tags=25%,"	"list=11%,"	signal=28%	
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	34	0.556763	1.4769198	0.034285713	0.74384224	1	1138	"tags=24%,"	"list=11%,"	signal=26%	
GOBP_AORTA_MORPHOGENESIS	20	0.6200206	1.5719773	0.030120483	0.7464759	0.994	2049	"tags=35%,"	"list=19%,"	signal=43%	
GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	61	0.48079067	1.5600832	0.009881423	0.757006	0.994	1096	"tags=21%,"	"list=10%,"	signal=24%	
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS	162	0.41117972	1.4146538	0.017408123	0.75911903	1	1461	"tags=23%,"	"list=14%,"	signal=26%	
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	54	0.53212374	1.5443475	0.008064516	0.75953174	0.996	1444	"tags=26%,"	"list=14%,"	signal=30%	
GOBP_TIGHT_JUNCTION_ORGANIZATION	43	0.5081976	1.4122064	0.027559055	0.7597518	1	1153	"tags=30%,"	"list=11%,"	signal=34%	
GOBP_SECONDARY_PALATE_DEVELOPMENT	17	0.66291416	1.4133378	0.07489879	0.7601768	1	1911	"tags=41%,"	"list=18%,"	signal=50%	
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	45	0.46239665	1.409633	0.03250478	0.7610974	1	2096	"tags=40%,"	"list=20%,"	signal=50%	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	111	0.39327112	1.410597	0.057768926	0.76227844	1	2766	"tags=33%,"	"list=26%,"	signal=45%	
GOBP_MITOTIC_RECOMBINATION	15	0.6187615	1.3991945	0.0665362	0.76258725	1	284	"tags=13%,"	"list=3%,"	signal=14%	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	21	0.5260002	1.4020193	0.07883818	0.76539445	1	232	"tags=14%,"	"list=2%,"	signal=15%	
GOBP_REGULATION_OF_CELL_FATE_COMMITMENT	20	0.57583845	1.3995608	0.0655106	0.766816	1	2067	"tags=30%,"	"list=20%,"	signal=37%	
GOBP_REGULATION_OF_FIBROBLAST_MIGRATION	26	0.57388127	1.5551747	0.015748031	0.76995057	0.995	2145	"tags=38%,"	"list=20%,"	signal=48%	
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	16	0.68851304	1.5725416	0.011673152	0.7700667	0.994	2312	"tags=50%,"	"list=22%,"	signal=64%	
GOBP_CELLULAR_TRANSITION_METAL_ION_HOMEOSTASIS	64	0.44065654	1.4057895	0.06504065	0.7700909	1	2562	"tags=41%,"	"list=24%,"	signal=53%	
GOBP_DEVELOPMENTAL_INDUCTION	24	0.57494974	1.4066615	0.04696673	0.7715322	1	1911	"tags=38%,"	"list=18%,"	signal=46%	
GOBP_ORGANIC_CATION_TRANSPORT	44	0.5268446	1.4020908	0.030947777	0.7715889	1	1658	"tags=30%,"	"list=16%,"	signal=35%	
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS	36	0.4955798	1.3995765	0.034412954	0.77315116	1	413	"tags=22%,"	"list=4%,"	signal=23%	
GOBP_ENERGY_HOMEOSTASIS	20	0.6146165	1.5483705	0.021653544	0.77488625	0.996	730	"tags=20%,"	"list=7%,"	signal=21%	
GOBP_REGULATION_OF_ACTIN_NUCLEATION	25	0.5165596	1.5795915	0.06382979	0.77621436	0.991	3055	"tags=32%,"	"list=29%,"	signal=45%	
GOBP_RESPONSE_TO_MISFOLDED_PROTEIN	19	0.48456025	1.4034101	0.105788425	0.77739334	1	2192	"tags=26%,"	"list=21%,"	signal=33%	
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	37	0.45333457	1.4021381	0.011952192	0.77788574	1	2271	"tags=38%,"	"list=21%,"	signal=48%	
GOBP_PEROXISOME_ORGANIZATION	19	0.6044409	1.5444814	0.019417476	0.7800729	0.996	1523	"tags=37%,"	"list=14%,"	signal=43%	
GOBP_ENDOPLASMIC_RETICULUM_CALCIUM_ION_HOMEOSTASIS	18	0.60190684	1.5748242	0.03941909	0.7823026	0.993	1137	"tags=17%,"	"list=11%,"	signal=19%	
GOBP_CELL_JUNCTION_ASSEMBLY	270	0.33522078	1.3930798	0.017475728	0.7912549	1	1242	"tags=14%,"	"list=12%,"	signal=15%	
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	35	0.4608231	1.5484967	0.007968128	0.7971232	0.996	1977	"tags=26%,"	"list=19%,"	signal=32%	
GOBP_GPI_ANCHOR_METABOLIC_PROCESS	22	0.5686467	1.5800912	0.014227643	0.8046396	0.991	2178	"tags=32%,"	"list=21%,"	signal=40%	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	33	0.4340373	1.2944307	0.12524462	0.8081369	1	2373	"tags=27%,"	"list=22%,"	signal=35%	
GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	45	0.43647307	1.2989117	0.10735586	0.8096034	1	594	"tags=11%,"	"list=6%,"	signal=12%	
GOBP_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE	42	0.39820844	1.253638	0.13193117	0.80983925	1	1228	"tags=17%,"	"list=12%,"	signal=19%	
GOBP_SECRETORY_GRANULE_ORGANIZATION	36	0.4746088	1.2947824	0.11610487	0.8098872	1	2044	"tags=28%,"	"list=19%,"	signal=34%	
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	42	0.432673	1.2994792	0.08269231	0.8102671	1	2095	"tags=33%,"	"list=20%,"	signal=41%	
GOBP_WALKING_BEHAVIOR	22	0.5752793	1.3843471	0.09746589	0.81060946	1	918	"tags=23%,"	"list=9%,"	signal=25%	
GOBP_REGULATION_OF_COLLATERAL_SPROUTING	17	0.46813554	1.2932374	0.115234375	0.81062245	1	2386	"tags=35%,"	"list=23%,"	signal=45%	
GOBP_NEURONAL_ACTION_POTENTIAL	24	0.55980676	1.3854104	0.073033705	0.810851	1	1045	"tags=25%,"	"list=10%,"	signal=28%	
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	150	0.31903777	1.2882974	0.08627451	0.8109978	1	2247	"tags=26%,"	"list=21%,"	signal=33%	
GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	16	0.5739403	1.2973315	0.1208577	0.8110534	1	899	"tags=31%,"	"list=8%,"	signal=34%	
GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT	30	0.5184628	1.2979918	0.12896825	0.8110919	1	1138	"tags=27%,"	"list=11%,"	signal=30%	
GOBP_ERYTHROCYTE_DEVELOPMENT	23	0.5981849	1.5880758	0.03088803	0.81110424	0.988	2318	"tags=35%,"	"list=22%,"	signal=44%	
GOBP_IRON_SULFUR_CLUSTER_ASSEMBLY	19	0.51390445	1.387569	0.07984791	0.8113141	1	2235	"tags=47%,"	"list=21%,"	signal=60%	
GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS	15	0.54808766	1.3864133	0.12401575	0.81161714	1	2059	"tags=33%,"	"list=19%,"	signal=41%	
GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	33	0.40842405	1.2901938	0.10236221	0.8121219	1	800	"tags=12%,"	"list=8%,"	signal=13%	
GOBP_REGULATION_OF_TOR_SIGNALING	62	0.34113532	1.2894537	0.19805825	0.81229544	1	1080	"tags=11%,"	"list=10%,"	signal=12%	
GOBP_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS	73	0.41417325	1.2887049	0.03875969	0.81232053	1	1562	"tags=27%,"	"list=15%,"	signal=32%	
GOBP_CELL_CELL_SIGNALING_BY_WNT	302	0.35255465	1.2536864	0.07959183	0.81234026	1	1191	"tags=14%,"	"list=11%,"	signal=16%	
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	51	0.416259	1.2956651	0.10557769	0.81249124	1	918	"tags=16%,"	"list=9%,"	signal=17%	
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	47	0.45804507	1.2997259	0.08730159	0.8126642	1	1439	"tags=23%,"	"list=14%,"	signal=27%	
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	73	0.4429274	1.2948996	0.09861933	0.81281286	1	1577	"tags=23%,"	"list=15%,"	signal=27%	
GOBP_DORSAL_VENTRAL_PATTERN_FORMATION	60	0.44388366	1.2541267	0.12524462	0.81310123	1	770	"tags=17%,"	"list=7%,"	signal=18%	
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	129	0.32676196	1.2870971	0.08946322	0.81326747	1	1152	"tags=12%,"	"list=11%,"	signal=14%	
GOBP_VENTRAL_SPINAL_CORD_DEVELOPMENT	22	0.6036965	1.3818699	0.0940499	0.8132701	1	3026	"tags=41%,"	"list=29%,"	signal=57%	
GOBP_COPULATION	15	0.5945323	1.3002843	0.13894325	0.8134776	1	2223	"tags=40%,"	"list=21%,"	signal=51%	
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS	26	0.4823753	1.2961347	0.1574468	0.8135221	1	712	"tags=15%,"	"list=7%,"	signal=16%	
GOBP_FEMALE_SEX_DIFFERENTIATION	76	0.39341292	1.2303716	0.15459883	0.81357145	1	1691	"tags=24%,"	"list=16%,"	signal=28%	
GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	15	0.53183085	1.2912806	0.15738964	0.81361693	1	3744	"tags=67%,"	"list=35%,"	signal=103%	
GOBP_STEROL_HOMEOSTASIS	56	0.38976598	1.3016149	0.023952097	0.8143725	1	594	"tags=11%,"	"list=6%,"	signal=11%	
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	15	0.6538673	1.5921628	0.018367346	0.81445324	0.986	1905	"tags=33%,"	"list=18%,"	signal=41%	
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	48	0.38552716	1.2903628	0.1199187	0.8146908	1	651	"tags=8%,"	"list=6%,"	signal=9%	
GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	46	0.4512233	1.300665	0.04389313	0.8153081	1	2142	"tags=37%,"	"list=20%,"	signal=46%	
GOBP_MULTICELLULAR_ORGANISMAL_SIGNALING	115	0.37556002	1.2541808	0.0953271	0.8155875	1	1045	"tags=14%,"	"list=10%,"	signal=15%	
GOBP_REGULATION_OF_CELL_SHAPE	94	0.36441815	1.2915976	0.06944445	0.815605	1	1942	"tags=21%,"	"list=18%,"	signal=26%	
GOBP_HYALURONAN_METABOLIC_PROCESS	20	0.5192108	1.3878828	0.06762295	0.81583387	1	2337	"tags=35%,"	"list=22%,"	signal=45%	
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	40	0.3383472	1.2303777	0.15606937	0.81596535	1	2598	"tags=20%,"	"list=25%,"	signal=26%	
GOBP_ORGANELLE_MEMBRANE_FUSION	82	0.32555377	1.2293718	0.15662651	0.81596786	1	1660	"tags=17%,"	"list=16%,"	signal=20%	
GOBP_CELL_CELL_JUNCTION_ORGANIZATION	129	0.3809393	1.3019989	0.06703911	0.81608486	1	1903	"tags=24%,"	"list=18%,"	signal=29%	
GOBP_REGULATION_OF_PROTEIN_TARGETING	48	0.4084465	1.2318556	0.13939394	0.81667507	1	2393	"tags=27%,"	"list=23%,"	signal=35%	
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE	48	0.38274816	1.3823428	0.04684318	0.8169234	1	2774	"tags=38%,"	"list=26%,"	signal=51%	
GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	40	0.50220543	1.5965956	0.026476579	0.81712914	0.983	1124	"tags=15%,"	"list=11%,"	signal=17%	
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	18	0.53990674	1.2544299	0.15294118	0.8171884	1	1994	"tags=44%,"	"list=19%,"	signal=55%	
GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	18	0.49183443	1.285561	0.19214876	0.8176062	1	225	"tags=11%,"	"list=2%,"	signal=11%	
GOBP_PLASMINOGEN_ACTIVATION	16	0.5703861	1.2496272	0.15169661	0.8183651	1	800	"tags=25%,"	"list=8%,"	signal=27%	
GOBP_RESPONSE_TO_ZINC_ION	30	0.44969627	1.2303895	0.17601547	0.81837	1	2180	"tags=43%,"	"list=21%,"	signal=54%	
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	42	0.47827253	1.2283295	0.18339768	0.8184557	1	3291	"tags=52%,"	"list=31%,"	signal=76%	
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	207	0.36240166	1.231884	0.117529884	0.8190304	1	1262	"tags=15%,"	"list=12%,"	signal=17%	
GOBP_MANNOSYLATION	19	0.51071626	1.3020258	0.13765182	0.81965464	1	1426	"tags=26%,"	"list=13%,"	signal=30%	
