NAME	SIZE	ES	NES	NOM_p-val	FDR_q-val	FWER_p-val	RANK_AT_MAX	LEADING_EDGE		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	40	-0.23959348	-0.93120927	0.54285717	1	1	2954	tags=30%,	list=28%,	signal=41%
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	23	-0.3885426	-0.8956415	0.63414633	1	1	1078	tags=35%,	list=10%,	signal=39%
KEGG_PARKINSONS_DISEASE	83	-0.25045645	-0.88138187	0.64634144	1	1	2913	tags=31%,	list=27%,	signal=43%
KEGG_GLUTATHIONE_METABOLISM	27	-0.31849438	-0.876098	0.67479676	1	1	1461	tags=26%,	list=14%,	signal=30%
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	47	-0.26999605	-0.86787343	0.7337278	1	1	1168	tags=15%,	list=11%,	signal=17%
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	38	-0.30194643	-0.83600026	0.76086956	1	1	1431	tags=21%,	list=14%,	signal=24%
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	16	-0.3790994	-0.82958275	0.7024292	1	1	632	tags=13%,	list=6%,	signal=13%
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	25	-0.32474527	-0.82801116	0.7305389	1	1	746	tags=12%,	list=7%,	signal=13%
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	26	-0.31081215	-0.82637286	0.7565923	1	1	1540	tags=19%,	list=15%,	signal=22%
KEGG_OOCYTE_MEIOSIS	63	-0.23889047	-0.82201695	0.83064514	1	1	1877	tags=24%,	list=18%,	signal=29%
KEGG_TIGHT_JUNCTION	74	-0.25119263	-0.81823957	0.7746479	1	1	2079	tags=23%,	list=20%,	signal=28%
KEGG_PROTEASOME	26	-0.2744515	-0.77241683	0.7726358	1	1	2893	tags=42%,	list=27%,	signal=58%
KEGG_ERBB_SIGNALING_PATHWAY	52	-0.21720038	-0.7644059	0.84375	1	1	1091	tags=12%,	list=10%,	signal=13%
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	69	-0.24041557	-0.7526967	0.93700784	1	1	2259	tags=33%,	list=21%,	signal=42%
KEGG_DILATED_CARDIOMYOPATHY	54	-0.22538367	-0.7317614	0.9015748	1	1	960	tags=9%,	list=9%,	signal=10%
KEGG_PYRUVATE_METABOLISM	24	-0.2651851	-0.73113286	0.86570245	1	1	338	tags=8%,	list=3%,	signal=9%
KEGG_ALZHEIMERS_DISEASE	103	-0.20470811	-0.7297705	0.94388777	1	1	2080	tags=17%,	list=20%,	signal=22%
KEGG_BASE_EXCISION_REPAIR	17	-0.3116798	-0.72926074	0.85360825	1	1	417	tags=12%,	list=4%,	signal=12%
KEGG_ENDOCYTOSIS	107	-0.16686927	-0.70354664	0.9121094	1	1	2095	tags=14%,	list=20%,	signal=17%
KEGG_PRIMARY_IMMUNODEFICIENCY	16	-0.31062472	-0.6933196	0.9560229	1	1	2125	tags=44%,	list=20%,	signal=55%
KEGG_LONG_TERM_POTENTIATION	40	-0.206626	-0.6795779	0.8596838	1	1	3331	tags=33%,	list=31%,	signal=47%
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	22	-0.28596807	-0.6789197	0.8446602	1	1	584	tags=9%,	list=6%,	signal=10%
KEGG_VIBRIO_CHOLERAE_INFECTION	30	-0.21647589	-0.6630811	0.8685259	1	1	855	tags=7%,	list=8%,	signal=7%
KEGG_LYSINE_DEGRADATION	22	-0.23461865	-0.63714486	0.9554656	1	1	2830	tags=32%,	list=27%,	signal=43%
KEGG_SPLICEOSOME	82	-0.21811394	-0.6308227	0.9122449	1	1	1463	tags=17%,	list=14%,	signal=20%
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	18	-0.231982	-0.6027078	0.96516395	1	1	2385	tags=33%,	list=23%,	signal=43%
